"drug1_id","drug2_id","condition_id"
"DB08916","DB00002","D002289"
"DB09078","DB09037","D008545"
"DB01259","DB00072","D015179"
"DB06366","DB00072","D015179"
"DB00002","DB01269","D015179"
"DB00002","DB01101","D015179"
"DB01269","DB01101","D015179"
"DB01269","DB00762","D015179"
"DB08912","DB08881","D008545"
"DB08912","DB08911","D008545"
"DB09078","DB09037","D008545"
"DB00002","DB11718","D015179"
"DB09330","DB00642","D002289"
"DB11986","DB14723","D001943"
"DB01254","DB01234","D019337"
"DB01254","DB04868","D015464"
"DB11718","DB01269","D015179"
"DB09078","DB09037","D008545"
"DB09078","DB09037","D016889"
"DB00530","DB05578","D002289"
"DB00398","DB00928","D019337"
"DB08912","DB08911","D002289"
"DB08912","DB08911","D001650"
"DB08912","DB08911","D002289"
"DB08912","DB08911","D002289"
"DB08912","DB08911","D008545"
"DB08912","DB08911","D008545"
"DB00755","DB01169","D015470"
"DB12015","DB00947","D001943"
"DB12015","DB00947","D001943"
"DB00112","DB00544","D015179"
"DB00112","DB00762","D015179"
"DB00112","DB01101","D015179"
"DB00112","DB01101","D015179"
"DB00002","DB01101","D015179"
"DB01259","DB01101","D001943"
"DB11986","DB14723","D014846"
"DB11986","DB14723","D016889"
"DB11986","DB14723","D006528"
"DB11828","DB01101","D001943"
"DB01269","DB15569","D015179"
"DB00112","DB09037","D002583"
"DB09078","DB06366","D001650"
"DB09074","DB11760","D001943"
"DB00072","DB00361","D001943"
"DB00072","DB01229","D001943"
"DB00072","DB01229","D016889"
"DB00072","DB00515","D013274"
"DB00072","DB01101","D001943"
"DB00072","DB01248","D001943"
"DB09078","DB09037","D001650"
"DB00002","DB01269","D015179"
"DB01269","DB00072","D015179"
"DB00002","DB01269","D015179"
"DB00002","DB01269","D015179"
"DB11689","DB01248","D002289"
"DB01254","DB04868","D015464"
