"drug1_id","drug2_id","condition_id"
"DB00112","DB01229","D001943"
"DB00112","DB01101","D001943"
"DB00002","DB08881","D005909"
"DB00112","DB01229","D001943"
"DB05239","DB08881","D013964"
"DB00112","DB11714","D001943"
"DB06366","DB00072","D015179"
"DB08865","DB00530","D002289"
"DB09037","DB08911","D008545"
"DB05239","DB08881","D008545"
"DB08865","DB00317","D002289"
"DB08912","DB08911","D015179"
"DB11791","DB00317","D002289"
"DB01269","DB00762","D015179"
"DB00112","DB01248","D001943"
"DB01590","DB06589","D001749"
"DB08865","DB00317","D002289"
"DB00112","DB01229","D001943"
"DB00112","DB00002","D015179"
"DB08912","DB08911","D013964"
"DB08912","DB08911","D007943"
"DB05239","DB08881","D008545"
"DB09073","DB08881","D008545"
"DB08865","DB00317","D002289"
"DB08865","DB00530","D002289"
"DB08865","DB09330","D002289"
"DB05239","DB08881","D008545"
"DB08916","DB08877","D002289"
"DB08912","DB08911","D001661"
"DB08912","DB08911","D005910"
"DB08912","DB08911","D008545"
"DB00947","DB09073","D001943"
"DB01006","DB09073","D001943"
"DB00002","DB08881","D015179"
"DB08877","DB01229","D001943"
"DB00073","DB08881","D007943"
"DB08912","DB08911","D065646"
"DB08912","DB08911","D002289"
"DB08912","DB08911","D001661"
"DB08912","DB08911","D005910"
"DB09330","DB05578","D002289"
"DB00112","DB00530","D002289"
"DB00002","DB08896","D015179"
"DB06366","DB00072","D013274"
"DB00073","DB08881","D007943"
"DB05239","DB08881","D008545"
"DB00002","DB08881","D015179"
"DB08912","DB08911","D015179"
"DB01259","DB01101","D001943"
"DB08865","DB09330","D002289"
"DB06366","DB00072","D002289"
"DB01259","DB00072","D015179"
"DB00112","DB01248","D001943"
"DB01269","DB00762","D015179"
"DB09073","DB08881","D008545"
"DB00398","DB01229","D001943"
"DB11689","DB01248","D002289"
"DB00530","DB00317","D002289"
"DB00072","DB00762","D002289"
"DB00530","DB00317","D002289"
"DB00072","DB00544","D015179"
"DB00398","DB01229","D008545"
"DB01259","DB01101","D001943"
"DB08912","DB01259","D065646"
"DB08912","DB08911","D008545"
"DB08912","DB08881","D002289"
"DB05239","DB08881","D008545"
"DB00002","DB01269","D015179"
"DB08875","DB11791","D002289"
"DB08912","DB08881","D002289"
"DB08875","DB11791","D002289"
"DB08875","DB11791","D002289"
"DB00530","DB00317","D005909"
"DB08875","DB11791","D002289"
"DB08875","DB11791","D002289"
"DB08875","DB11791","D002289"
"DB01590","DB06287","D002292"
"DB05239","DB08881","D008545"
"DB08912","DB08881","D002289"
"DB08875","DB11791","D002289"
"DB08916","DB00072","D001943"
"DB00002","DB01248","D000077195"
"DB08912","DB08881","D002289"
"DB01006","DB09073","D001943"
"DB08875","DB11791","D002289"
"DB08875","DB11791","D002289"
"DB00002","DB08881","D015179"
"DB00530","DB00317","D002289"
"DB01259","DB00072","D001943"
"DB01590","DB05294","D000077192"
"DB00072","DB01101","D001943"
"DB01590","DB05294","D000077192"
"DB00530","DB00642","D002289"
"DB08912","DB08881","D002289"
"DB00357","DB00675","D001943"
"DB00398","DB01229","D008545"
"DB01590","DB06287","D002292"
"DB00002","DB01101","D015179"
"DB12001","DB09073","D008080"
"DB00530","DB00317","D002289"
"DB08912","DB08881","D002289"
"DB01128","DB08899","D001943"
"DB00530","DB00317","D002289"
"DB01590","DB06287","D002292"
"DB06589","DB08901","D018281"
"DB00530","DB00317","D002289"
"DB01254","DB00530","D002289"
"DB00530","DB00317","D002289"
"DB00530","DB00317","D005909"
"DB08875","DB11791","D002289"
"DB11963","DB00530","D002289"
"DB00398","DB01248","D008545"
"DB01590","DB06287","D002292"
"DB08912","DB01259","D065646"
"DB01590","DB06287","D002292"
"DB00530","DB00317","D002289"
"DB01269","DB08881","D015179"
"DB08912","DB08911","D015179"
"DB08912","DB08911","D008545"
"DB11689","DB01248","D002289"
"DB08912","DB08911","D018358"
"DB08912","DB08911","D015179"
"DB01590","DB00947","D001943"
"DB00112","DB00530","D002289"
"DB01006","DB09073","D001943"
"DB08865","DB08881","D015179"
"DB04868","DB00570","D005910"
"DB00530","DB00877","D005910"
"DB09073","DB00072","D001943"
"DB00002","DB00072","D015179"
"DB09073","DB00072","D001943"
"DB09073","DB00072","D001943"
"DB00112","DB00072","D003110"
"DB00112","DB00072","D015179"
"DB01006","DB09073","D001943"
"DB01217","DB01590","D001943"
"DB01590","DB01006","D001943"
"DB00112","DB06287","D001943"
"DB01259","DB00072","D015179"
"DB00317","DB15133","D002289"
"DB11791","DB00317","D002289"
"DB00002","DB12200","D015179"
"DB01269","DB11666","D015179"
"DB00002","DB08881","D015179"
"DB00112","DB08911","D005185"
"DB01590","DB08911","D010051"
"DB06366","DB00072","D000230"
"DB09037","DB08911","D001943"
"DB09078","DB09074","D002295"
"DB01590","DB09074","D002583"
"DB00675","DB08911","D010051"
"DB00002","DB09073","D004938"
"DB01590","DB00947","D001943"
"DB09078","DB05578","C562730"
"DB00112","DB01229","D002289"
"DB01259","DB00072","D015179"
"DB01217","DB01590","D001943"
"DB01590","DB01006","D001943"
"DB01006","DB09073","D001943"
"DB09073","DB06401","D001943"
"DB00112","DB06287","D001943"
"DB12001","DB01590","D006528"
"DB00112","DB00642","D002289"
"DB00112","DB00642","D002289"
"DB12001","DB09330","D002289"
"DB00112","DB00642","D002289"
"DB00112","DB01590","D010051"
"DB00072","DB14993","D001943"
"DB09330","DB11885","D015179"
"DB06626","DB15765","D002292"
"DB00112","DB08937","D003110"
"DB00112","DB01229","D010051"
"DB00112","DB01229","D002289"
"DB00112","DB00642","D002289"
"DB00002","DB12200","D015179"
"DB00112","DB08937","D003110"
"DB06626","DB08865","D002292"
"DB00112","DB01101","D003110"
"DB00112","DB16087","D002289"
"DB01269","DB08911","D015179"
"DB08912","DB01269","D015179"
"DB00002","DB00544","D000077195"
"DB08875","DB01269","D015179"
"DB01259","DB00072","D015179"
"DB01590","DB00072","D001943"
"DB00112","DB00072","D001063"
"DB00002","DB00526","D015179"
"DB09078","DB09037","D013274"
"DB06366","DB00072","D002289"
"DB08877","DB01262","D009196"
"DB06366","DB00072","D001943"
"DB00073","DB00541","D008223"
"DB00002","DB06589","D000077195"
"DB01590","DB06589","D001749"
"DB01590","DB09078","D002292"
"DB00002","DB00762","D015179"
"DB09037","DB08911","D010190"
"DB00307","DB00530","D002289"
"DB08875","DB09035","D002292"
"DB01590","DB06589","D000077195"
"DB00072","DB01229","D001943"
