"drug1_id","drug2_id","condition_id"
"DB12247","DB11925","D000077192"
"DB12247","DB11925","D001943"
"DB12218","DB15029","D001943"
"DB12218","DB15029","D001943"
"DB12218","DB15029","D018358"
"DB12218","DB15029","D018358"
"DB12218","DB15029","D000077192"
"DB12218","DB15029","D000077192"
"DB12218","DB12340","D001943"
"DB12218","DB12183","D004938"
"DB12218","DB12183","D004938"
"DB12218","DB12183","D000077192"
"DB12218","DB12183","D000077192"
"DB12247","DB11925","D000077192"
"DB12218","DB15029","D000077192"
"DB12218","DB12183","D000077192"
"DB16828","DB07101","D015179"
"DB11651","DB01259","D015179"
"DB11651","DB01259","D015179"
"DB11651","DB00530","D015179"
"DB11651","DB00530","D015179"
"DB07101","DB00398","D015179"
"DB11651","DB07101","D015179"
"DB11651","DB07101","D008545"
"DB11651","DB16828","D015179"
"DB11651","DB16828","D015179"
"DB11651","DB16828","D015179"
"DB11651","DB00530","D008545"
"DB11651","DB00530","D008545"
"DB11651","DB16828","D008545"
"DB11651","DB16828","D008545"
"DB11651","DB16828","D008545"
"DB11651","DB07101","D008545"
"DB11651","DB16828","D008545"
"DB11651","DB01259","D000077216"
"DB11651","DB01259","D000077216"
"DB11651","DB07101","D000077216"
"DB11651","DB16828","D000077216"
"DB11651","DB16828","D000077216"
"DB11651","DB16828","D000077216"
"DB11651","DB07101","D000077216"
"DB11651","DB16828","D000077192"
"DB11651","DB16828","D000077192"
"DB11651","DB16828","D000077192"
"DB11651","DB16828","D001943"
"DB11651","DB16828","D001943"
"DB11651","DB16828","D001943"
"DB11651","DB00530","D015179"
"DB11651","DB07101","D015179"
"DB11651","DB16828","D015179"
"DB00530","DB16828","D008545"
"DB00530","DB16828","D008545"
"DB00530","DB16828","D008545"
"DB00530","DB16828","D008545"
"DB00530","DB16828","D008545"
"DB00530","DB16828","D008545"
"DB00530","DB16828","D000077216"
"DB00530","DB16828","D000077216"
"DB00530","DB16828","D000077216"
"DB00530","DB16828","D000077216"
"DB11651","DB00530","D000077216"
"DB11651","DB00530","D000077216"
"DB00530","DB16828","D000077216"
"DB00530","DB16828","D000077216"
"DB00530","DB16828","D015179"
"DB00530","DB16828","D015179"
"DB00530","DB16828","D015179"
"DB00530","DB16828","D015179"
"DB01259","DB16828","D015179"
"DB01259","DB16828","D015179"
"DB01259","DB16828","D015179"
"DB01259","DB16828","D015179"
"DB11651","DB16828","D015179"
"DB00530","DB16828","D015179"
"DB00530","DB16828","D015179"
"DB01259","DB16828","D015179"
"DB01259","DB16828","D015179"
"DB16828","DB07101","D000077216"
"DB00530","DB16828","D000077216"
"DB01259","DB16828","D000077216"
"DB01259","DB16828","D000077216"
"DB01259","DB16828","D000077216"
"DB01259","DB16828","D000077216"
"DB11651","DB16828","D000077216"
"DB11651","DB16828","D000077216"
"DB00530","DB16828","D000077216"
"DB00530","DB16828","D000077216"
"DB01259","DB16828","D000077216"
"DB01259","DB16828","D000077216"
"DB00530","DB16828","D002289"
"DB00530","DB16828","D002289"
"DB00530","DB16828","D002289"
"DB00530","DB16828","D002289"
"DB01259","DB16828","D002289"
"DB01259","DB16828","D002289"
"DB01259","DB16828","D002289"
"DB01259","DB16828","D002289"
"DB11651","DB00530","D002289"
"DB11651","DB00530","D002289"
"DB00530","DB16828","D002289"
"DB00530","DB16828","D002289"
"DB01259","DB16828","D002289"
"DB01259","DB16828","D002289"
"DB00530","DB07101","D000077192"
"DB16828","DB07101","D000077192"
"DB00530","DB16828","D000077192"
"DB00530","DB16828","D000077192"
"DB00530","DB16828","D000077192"
