"drug1_id","drug2_id","condition_id"
"DB11730","DB00297","D011471"
"DB12001","DB00297","D008545"
"DB11730","DB00398","D000077192"
"DB11730","DB00398","D008545"
"DB11730","DB00398","D001943"
"DB11730","DB00398","D021441"
"DB11730","DB00398","D016889"
"DB12001","DB00297","D005909"
"DB11730","DB00297","D021441"
"DB12001","DB00297","D003110"
"DB11730","DB00683","D001943"
"DB11730","DB12887","D001943"
"DB12001","DB00297","C536905"
"DB11730","DB00398","D003110"
"DB11730","DB00297","D000077195"
"DB12001","DB00297","D016889"
"DB12001","DB00297","D010051"
"DB11730","DB00297","D004938"
"DB11730","DB00398","D010051"
"DB11730","DB00398","D005910"
"DB05015","DB05294","D002289"
"DB11730","DB00398","D001749"
"DB11730","DB01248","D004938"
"DB11730","DB11942","D002289"
"DB12001","DB01204","D006528"
"DB11730","DB01204","D006528"
"DB12001","DB11942","D008545"
"DB12001","DB00683","D005910"
"DB09074","DB11730","D016889"
"DB12001","DB00297","D021441"
"DB11730","DB00297","D001943"
"DB11730","DB00398","D018281"
"DB08912","DB05294","D003110"
"DB11730","DB00398","D002289"
"DB12001","DB12010","D001943"
"DB12001","DB00297","D005910"
"DB12001","DB00297","D010673"
"DB11730","DB00398","D002294"
"DB09074","DB11730","D000077195"
"DB11730","DB00398","D000077195"
"DB12001","DB05015","D003110"
"DB11730","DB00398","D004938"
"DB14723","DB11730","D001943"
"DB05015","DB11730","D016889"
"DB11730","DB01030","D001943"
"DB05015","DB05294","D001749"
"DB08912","DB05294","D008545"
"DB08912","DB00377","D013964"
"DB12483","DB08912","D008545"
"DB12001","DB08899","D016889"
"DB12483","DB11730","D000077195"
"DB12001","DB08899","D000077195"
"DB12001","DB05015","D016889"
"DB12001","DB11730","D002289"
"DB12001","DB11730","D021441"
"DB08912","DB01254","D008545"
"DB08912","DB08899","D008545"
"DB12001","DB09074","D002292"
"DB12001","DB06616","D005909"
"DB09074","DB11730","D011471"
"DB12001","DB11730","D001749"
"DB08912","DB11581","D013964"
"DB08912","DB00361","D013964"
"DB12001","DB12483","D001943"
"DB12001","DB08828","D004938"
"DB05015","DB11730","D001749"
"DB08912","DB11730","D008545"
"DB08912","DB09074","D008545"
"DB12001","DB09074","C536905"
"DB12001","DB00297","D000077192"
"DB12001","DB00297","D002289"
"DB12001","DB00297","D018268"
"DB09074","DB11730","D000077192"
"DB12001","DB11942","D002289"
"DB12001","DB00367","D010051"
"DB12001","DB11942","D010051"
"DB11730","DB00398","D010673"
"DB12001","DB00367","D001943"
"DB11730","DB11942","D001943"
"DB12001","DB12887","D001943"
"DB11730","DB08877","D004938"
"DB11730","DB00997","D001943"
"DB12001","DB00297","D000077195"
"DB11730","DB00244","D001943"
"DB12001","DB00297","D004938"
"DB12001","DB00297","D001943"
"DB12001","DB00297","D001749"
"DB11730","DB00398","D011471"
"DB12001","DB00297","D002294"
"DB12001","DB00297","D009373"
"DB11730","DB00398","D006528"
"DB12001","DB08908","D000077195"
"DB11730","DB00367","D001943"
"DB08916","DB01041","D000077192"
"DB08916","DB01041","D000077195"
"DB01041","DB08828","D000077192"
"DB01041","DB08828","D008545"
"DB14723","DB01041","D006528"
"DB14723","DB01041","D001749"
"DB08912","DB01041","D016889"
"DB01041","DB01204","D002294"
"DB08912","DB01041","D000077195"
"DB01041","DB01204","D006528"
"DB08908","DB01041","D004938"
"DB12001","DB01041","D002289"
"DB12001","DB01041","D000077195"
"DB09074","DB01041","D015179"
"DB08916","DB01041","D005909"
"DB08908","DB01041","D002289"
"DB01041","DB01204","D001749"
"DB09074","DB01041","D011471"
"DB09074","DB11730","D006528"
"DB12001","DB09074","D009373"
"DB11730","DB11942","D004938"
"DB11730","DB14545","D000077195"
"DB11730","DB00104","D001943"
"DB11730","DB00104","D000077192"
"DB11730","DB14545","D004938"
"DB11730","DB14545","D002289"
"DB12001","DB14545","D002289"
"DB08912","DB14545","D000077195"
"DB08912","DB14545","D002289"
"DB09073","DB06287","D000077192"
"DB12001","DB06287","D000077195"
"DB09073","DB06287","D008654"
"DB12001","DB06287","D008654"
"DB08912","DB11730","D008545"
"DB06287","DB00762","D002292"
"DB09073","DB06287","D002289"
"DB08912","DB08828","D010051"
"DB12001","DB06287","D000077192"
"DB09073","DB06287","D005910"
"DB09073","DB06287","D002292"
"DB08912","DB08828","D003110"
"DB08912","DB08828","D011471"
"DB08912","DB08828","D005910"
"DB08912","DB08828","D002289"
"DB08912","DB08828","D001943"
"DB08912","DB08828","D005909"
"DB08912","DB01229","D001943"
"DB08912","DB08828","D001749"
"DB08912","DB08828","D008545"
"DB08912","DB08828","D002292"
"DB08912","DB08828","D006528"
"DB08912","DB00482","D005910"
"DB08912","DB11581","D001943"
"DB08912","DB08828","D000077195"
"DB08912","DB06137","D008545"
"DB12267","DB08912","D008545"
"DB08912","DB15133","D000077192"
"DB08912","DB08828","D000077192"
"DB08912","DB08899","D010051"
"DB08912","DB14568","D005909"
"DB08912","DB12010","D010051"
"DB08912","DB14568","D005910"
"DB08912","DB01030","D005910"
"DB08912","DB08899","D016889"
"DB08912","DB08899","D004938"
"DB08912","DB15133","D002292"
"DB08912","DB01259","D010051"
"DB12001","DB08912","D013964"
"DB08912","DB06137","D003110"
"DB08912","DB00482","D013964"
"DB08912","DB09073","D005909"
"DB08912","DB09074","D013964"
"DB08912","DB00398","D003110"
"DB12267","DB08912","D013964"
"DB08912","DB04868","D008545"
"DB08899","DB11730","D002289"
"DB14723","DB11730","D006528"
"DB12001","DB11967","D008545"
"DB08912","DB06809","D008545"
"DB12001","DB08912","D008545"
"DB08912","DB09073","D008545"
"DB08912","DB06137","D008545"
"DB08912","DB08899","D003110"
"DB08912","DB09073","D005910"
"DB12001","DB08916","D005909"
"DB12001","DB14568","D005909"
"DB12001","DB08899","D005909"
"DB12001","DB11967","D002289"
"DB08916","DB11730","D000077192"
"DB05015","DB11730","D000077195"
"DB12001","DB11730","D018281"
"DB11730","DB08828","D004938"
"DB12483","DB11730","D001943"
"DB08912","DB11730","D003110"
"DB11967","DB11730","D008545"
"DB09074","DB11730","D010051"
"DB12001","DB01030","D006528"
"DB12001","DB11730","D004938"
"DB08899","DB11730","D000077195"
"DB12001","DB05015","D001943"
"DB11963","DB11730","D002289"
"DB12001","DB05015","D001749"
"DB12001","DB11730","D000077195"
"DB08899","DB11730","D001943"
"DB12001","DB14568","D005910"
"DB08912","DB11730","D001749"
"DB12001","DB11967","D010051"
"DB12001","DB08899","D010051"
"DB05015","DB11730","D004938"
"DB12001","DB11967","D004938"
"DB12001","DB14568","D018281"
"DB12147","DB11730","D001749"
"DB11901","DB11730","D001943"
"DB12001","DB11901","D010051"
"DB11730","DB06137","D001749"
"DB12001","DB08912","D005909"
"DB01259","DB11730","D001943"
"DB12001","DB11901","D001943"
"DB12141","DB12010","D002294"
"DB12001","DB06137","D001749"
"DB12001","DB00482","D005910"
"DB05015","DB11730","D002289"
"DB11730","DB00482","D011471"
"DB09074","DB11730","D004938"
"DB12141","DB01030","D005910"
"DB12141","DB12010","D010051"
"DB12141","DB12010","D001749"
"DB12141","DB01030","D000077192"
"DB12001","DB08899","D004938"
"DB12001","DB11730","D000077192"
"DB12001","DB09074","D021441"
"DB12001","DB08912","D005910"
"DB12001","DB08912","D008545"
"DB12001","DB08908","D002289"
"DB08899","DB11730","D016889"
"DB09074","DB11730","D001943"
"DB09074","DB11730","D001749"
"DB11963","DB11730","D000077195"
"DB11967","DB11730","D002289"
"DB11967","DB11730","D010051"
"DB12001","DB08916","D000077192"
"DB12483","DB11730","D002289"
"DB12001","DB08899","D002289"
"DB11967","DB11730","D000077192"
"DB12001","DB08912","D000077192"
"DB11730","DB01041","D002294"
"DB11730","DB01041","D002289"
"DB11967","DB11730","D002289"
"DB11730","DB15133","D008545"
"DB11730","DB15133","D011471"
"DB14723","DB11730","D004938"
"DB09073","DB11730","D021441"
"DB12001","DB11730","D002289"
"DB08916","DB11730","D000077192"
"DB12001","DB11730","D005909"
"DB11730","DB01041","D004938"
"DB11730","DB01041","D000077195"
"DB11730","DB00398","D000077195"
"DB11730","DB01041","D018268"
"DB11730","DB15133","D000077192"
"DB09073","DB11730","D005909"
"DB11730","DB01041","D002292"
"DB09073","DB11730","D000077195"
"DB09073","DB11730","D002289"
"DB14723","DB11730","D001749"
"DB11730","DB01041","D000077192"
"DB11730","DB01041","D003110"
"DB11730","DB01041","D006528"
"DB11730","DB05294","D002289"
"DB11730","DB00398","D002289"
"DB14723","DB11730","D021441"
"DB11730","DB01041","D011471"
"DB11730","DB01041","D005910"
"DB14723","DB11730","D005909"
"DB09073","DB11730","D004938"
"DB11730","DB15133","D002292"
"DB11730","DB01041","D005909"
"DB11730","DB01041","D010051"
"DB11730","DB15133","D010051"
"DB11730","DB15133","D018190"
"DB14723","DB11730","D005910"
"DB11730","DB01041","D009373"
"DB11730","DB00398","D004938"
"DB11730","DB01041","D001749"
"DB09073","DB11730","D001749"
"DB08899","DB11730","D006528"
"DB12001","DB11730","D004938"
"DB11967","DB11730","D009373"
"DB14568","DB11730","D005910"
"DB13874","DB11730","D006528"
"DB11730","DB12010","D001749"
"DB08912","DB11730","D008545"
"DB08899","DB11730","D001943"
"DB11730","DB01030","D005910"
"DB08899","DB11730","D016889"
"DB09074","DB11730","D011471"
"DB12001","DB11730","D000077195"
"DB09073","DB11730","D018281"
"DB11967","DB11730","D001943"
"DB11730","DB01041","D021441"
"DB11730","DB15133","D002294"
"DB11730","DB15133","D001749"
"DB14568","DB15133","D005910"
"DB15133","DB08828","D002292"
"DB15133","DB08828","D008545"
"DB11730","DB15133","D011471"
"DB15133","DB08828","D011471"
"DB11730","DB15133","D000077195"
"DB15133","DB08828","D005909"
"DB15133","DB08828","D000077192"
"DB15133","DB08828","D001749"
"DB15133","DB08828","D010051"
"DB11730","DB15133","D006528"
"DB12001","DB15133","D001749"
"DB15133","DB08828","D002289"
"DB12001","DB15133","D000077192"
"DB08912","DB15133","D008545"
"DB11730","DB15133","D004938"
"DB15133","DB08828","D006528"
"DB01005","DB15133","D002289"
"DB14568","DB15133","D005909"
"DB01259","DB15133","D010051"
"DB15133","DB12010","D010051"
"DB15133","DB08828","D001943"
"DB01590","DB09073","D001749"
"DB12001","DB08911","D005910"
"DB11967","DB08899","D016889"
"DB11967","DB09073","D008545"
"DB11967","DB08899","D002289"
"DB12001","DB11967","D005910"
"DB11967","DB09073","D008654"
"DB11967","DB00398","D001943"
"DB11967","DB00398","D004938"
"DB11967","DB12130","D008545"
"DB11967","DB11963","D008545"
"DB08899","DB12147","D013964"
"DB12147","DB08828","D016889"
"DB11967","DB08899","D004938"
"DB11967","DB00619","D008545"
"DB12001","DB06287","D008654"
"DB12001","DB00619","D000098943"
"DB11967","DB08899","D015179"
"DB11967","DB14723","D001943"
"DB12147","DB12010","D001943"
"DB12001","DB12267","D008545"
"DB12001","DB08911","D008545"
"DB05015","DB01262","D001943"
"DB11942","DB00762","D016889"
"DB09074","DB00762","D016889"
"DB14723","DB12010","D001943"
"DB08912","DB12010","D008545"
"DB08912","DB12010","D002294"
"DB05015","DB00631","D008545"
"DB14723","DB04868","D010673"
"DB05015","DB11967","D001749"
"DB05015","DB08899","D005909"
"DB08916","DB05015","D000077195"
"DB08916","DB05015","D016889"
"DB08916","DB05015","D008545"
"DB08912","DB00762","D008545"
"DB14568","DB12010","D016889"
"DB05239","DB08899","D001943"
"DB05239","DB12141","D016889"
"DB12001","DB00619","D015179"
"DB12001","DB00619","D010051"
"DB12001","DB00619","D005910"
"DB12001","DB00619","D018190"
"DB12001","DB00619","D008545"
"DB12001","DB00619","D001943"
"DB12001","DB06287","D000077195"
"DB04868","DB06137","D001749"
"DB08912","DB00762","D000077192"
"DB11901","DB12010","D001943"
"DB08899","DB00762","D016889"
"DB08916","DB05015","D001943"
"DB05015","DB09074","D001749"
"DB11901","DB00398","D011471"
"DB14723","DB04868","D021441"
"DB14723","DB04868","D018268"
"DB11901","DB08895","D008545"
"DB11901","DB09074","D018190"
"DB11901","DB08899","D004938"
"DB11901","DB00398","D001943"
"DB11901","DB09073","D004938"
"DB11901","DB01030","D005909"
"DB01259","DB11800","D008545"
"DB11901","DB08899","D001943"
"DB11901","DB00631","D001943"
"DB11901","DB01030","D005910"
"DB11901","DB14723","D005909"
"DB11901","DB05294","D011471"
"DB11901","DB01254","D000077192"
"DB14723","DB04868","D011471"
"DB14723","DB04868","D000077192"
"DB08916","DB05015","D000077192"
"DB11901","DB04868","D003110"
"DB08916","DB05015","D021441"
"DB08916","DB05015","D005909"
"DB05015","DB09074","D001943"
"DB05015","DB08899","D000077195"
"DB14723","DB12010","D005909"
"DB08911","DB12010","D008545"
"DB09073","DB06287","D000077192"
"DB11901","DB08875","D001943"
"DB11901","DB11942","D016889"
"DB11901","DB12267","D005910"
"DB11901","DB05294","D021441"
"DB11901","DB06616","D016889"
"DB11901","DB14723","D005910"
"DB11901","DB08895","D016889"
"DB05015","DB08899","D001943"
"DB11967","DB00297","D001749"
"DB05239","DB12010","D001943"
"DB01590","DB00398","D006528"
"DB08899","DB09073","D000077192"
"DB08899","DB09073","D001943"
"DB08899","DB09073","D010051"
"DB08899","DB12010","D001943"
"DB08899","DB09073","D005909"
"DB08916","DB08899","D000077195"
"DB08899","DB00727","D008545"
"DB08916","DB08899","D005910"
"DB11967","DB08899","D010051"
"DB08899","DB01101","D000077192"
"DB08912","DB08899","D003110"
"DB12483","DB08899","D003110"
"DB12001","DB08899","D000077195"
"DB11967","DB09073","D000077192"
"DB12483","DB08899","D004938"
"DB08912","DB08899","D011471"
"DB11967","DB08899","D002289"
"DB08916","DB08899","D005909"
"DB14723","DB00727","D010673"
"DB08912","DB08899","D008545"
"DB11967","DB08895","D005910"
"DB11967","DB01259","D008545"
"DB11967","DB00398","D008545"
"DB11967","DB00398","D010051"
"DB09074","DB00398","D010051"
"DB01590","DB00398","D002289"
"DB12001","DB00398","D018281"
"DB12001","DB00398","D001749"
"DB08899","DB00398","D000077195"
"DB12001","DB00398","D002289"
"DB12001","DB00727","D000077195"
"DB11967","DB00377","D013964"
"DB09073","DB06287","D002289"
"DB12001","DB06287","D002289"
"DB12001","DB06287","D012509"
"DB09073","DB00727","D002289"
"DB01005","DB00727","D000077192"
"DB12001","DB00727","D001749"
"DB12001","DB00727","D000077192"
"DB09073","DB00727","D001749"
"DB09074","DB00398","D001749"
"DB09073","DB00727","D000077195"
"DB08912","DB00727","D001749"
"DB01005","DB00727","D000077195"
"DB09073","DB06287","D002292"
"DB12001","DB00398","D008545"
"DB14723","DB00297","D005910"
"DB12001","DB00727","C536905"
"DB12001","DB00297","D000077195"
"DB12001","DB00619","D018190"
"DB12001","DB09074","D001749"
"DB14723","DB00297","D005909"
"DB14723","DB00297","D009373"
"DB12001","DB14568","D004938"
"DB12001","DB00619","D006528"
"DB12001","DB08912","D004938"
"DB12001","DB08916","D004938"
"DB12001","DB00619","D005910"
"DB12001","DB01204","D006528"
"DB08899","DB00297","D016889"
"DB12001","DB00619","D000077195"
"DB12001","DB00619","D004938"
"DB06616","DB08911","D005909"
"DB12001","DB00619","D015179"
"DB12001","DB00398","D004938"
"DB00619","DB06287","D000077195"
"DB12147","DB00398","D002289"
"DB00619","DB11581","D008545"
"DB09074","DB00398","D011471"
"DB14723","DB00398","D006528"
"DB08912","DB00398","D008545"
"DB12483","DB00398","D002289"
"DB00619","DB11581","D018190"
"DB08899","DB00297","D010051"
"DB08911","DB11581","D005910"
"DB12483","DB00398","D001943"
"DB08899","DB01101","D001943"
"DB05015","DB08899","D001943"
"DB12001","DB00398","D000077195"
"DB05015","DB00398","D000077195"
"DB09074","DB00398","D004938"
"DB08916","DB00297","D005910"
"DB08912","DB00297","D005910"
"DB11967","DB00619","D015179"
"DB14568","DB00297","D005909"
"DB08899","DB00297","D002289"
"DB01259","DB00297","D010051"
"DB08916","DB00297","D005909"
"DB05239","DB12010","D000077195"
"DB05239","DB08899","D016889"
"DB12267","DB15035","D000077192"
"DB09074","DB09073","D000077192"
"DB09074","DB12010","D000077192"
"DB09074","DB15133","D005909"
"DB12001","DB05015","D001749"
"DB12001","DB12147","D001749"
"DB12001","DB09074","D002292"
"DB12001","DB05015","D002289"
"DB12001","DB12483","D016889"
"DB12001","DB05015","D005909"
"DB12001","DB11967","D000077192"
"DB12001","DB08916","D000077192"
"DB12001","DB12267","D005910"
"DB12001","DB08916","D005910"
"DB12001","DB11967","D006528"
"DB12001","DB05015","D000077195"
"DB12001","DB11967","D004938"
"DB12001","DB09074","D002289"
"DB12001","DB11967","D005909"
"DB11967","DB12267","D002289"
"DB12001","DB08916","D005909"
"DB12001","DB11967","D008545"
"DB09074","DB15133","D001943"
"DB05015","DB12010","D001749"
"DB08899","DB09073","D008654"
"DB05015","DB08912","D008545"
"DB12001","DB11967","D005910"
"DB12001","DB09074","D001943"
"DB12001","DB08899","D002289"
"DB05015","DB11967","D008545"
"DB05015","DB08899","D004938"
"DB11967","DB09073","D000077192"
"DB12001","DB14568","D005910"
"DB12001","DB08912","D008545"
"DB11967","DB09073","D001943"
"DB11967","DB09073","D000077195"
"DB11967","DB04868","D001749"
"DB11967","DB12147","D002289"
"DB11967","DB14723","D002289"
"DB14568","DB00297","D005910"
"DB11967","DB09073","D005910"
"DB08899","DB08910","D016889"
"DB04868","DB12010","D000077195"
"DB08899","DB12010","D004938"
"DB06809","DB12010","D001749"
"DB08899","DB15149","D001943"
"DB06809","DB12010","D001943"
"DB11967","DB12010","D000077192"
"DB11967","DB09074","D008545"
"DB11967","DB00361","D003110"
"DB11967","DB00482","D010673"
"DB12147","DB06137","D016889"
"DB14568","DB09074","D005910"
"DB15149","DB09073","D018281"
"DB05015","DB12010","D004938"
"DB15149","DB11942","D016889"
"DB15149","DB00367","D016889"
"DB01590","DB09074","D001943"
"DB08899","DB15149","D016889"
"DB08899","DB15149","D002289"
"DB12267","DB08912","D000077195"
"DB12267","DB08911","D005909"
"DB08899","DB08910","D002289"
"DB12267","DB11942","D010051"
"DB12267","DB08865","D002289"
"DB12267","DB12147","D000077195"
"DB11967","DB12267","D000077192"
"DB11967","DB12267","D005909"
"DB12267","DB08912","D005909"
"DB05015","DB15149","D016889"
"DB08908","DB15149","D002294"
"DB15149","DB09073","D001749"
"DB15149","DB09073","D004938"
"DB15149","DB09073","D002289"
"DB15149","DB09073","D000077192"
"DB15149","DB00367","D001943"
"DB15149","DB11942","D004938"
"DB15149","DB12887","D001943"
"DB12267","DB11942","D016889"
"DB12267","DB01254","D008545"
"DB11967","DB12267","D000077192"
"DB11967","DB14723","D016889"
"DB00619","DB01204","D006528"
"DB12001","DB08912","D002289"
"DB08916","DB05015","D005910"
"DB08912","DB15133","D008545"
"DB12001","DB00619","D004938"
"DB12001","DB00619","D000098943"
"DB01254","DB00619","D000077195"
"DB11901","DB05239","D001943"
"DB05239","DB01229","D001943"
"DB05239","DB06137","D003110"
"DB00619","DB09074","D002294"
"DB00619","DB01101","D001943"
