drug1	drug2	condition
DB06708	DB06697	D016778
DB01299	DB00205	D016778
DB00709	DB00495	D015658
DB06708	DB06697	D008288
DB09096	DB00210	D000152
DB00921	DB01183	D009293
DB11613	DB08934	D006526
DB01015	DB00440	D003092
DB01015	DB00440	D003093
DB01015	DB00440	D014456
DB00766	DB01060	D003092
DB00766	DB01060	D003093
DB00766	DB01060	D014456
DB00709	DB00495	D014376
DB00983	DB01222	D001249
DB11574	DB11575	D006526
DB11574	DB11575	D006505
DB00983	DB01222	D008171
DB00983	DB01222	D008173
DB00983	DB01222	D029424
DB00983	DB01222	D002908
DB00956	DB00316	D001416
DB00956	DB00316	D017116
DB00956	DB00316	D010149
DB00956	DB00316	D011183
DB00956	DB00316	D000070600
DB01114	DB00397	D007239
DB01114	DB00397	D000096825
DB01114	DB00397	D012141
DB01114	DB00397	D001991
DB00973	DB00641	D002318
DB00973	DB00641	D006331
DB00973	DB00641	D058729
DB00973	DB00641	D016491
DB00973	DB00641	D003327
DB00973	DB00641	D003324
DB00973	DB00641	D017202
DB00973	DB00641	D003920
DB00956	DB00316	D059787
DB09324	DB00415	D001943
DB00921	DB01183	D059350
DB00921	DB01183	D016739
DB00177	DB09292	D009202
DB00177	DB09292	D002312
DB00177	DB09292	D006984
DB11574	DB11575	D006506
DB00177	DB09292	D009203
DB00177	DB09292	D007238
DB00766	DB01060	D011014
DB01015	DB00440	D011014
DB01015	DB00440	D011020
DB00709	DB00495	D007239
DB00709	DB00495	D000163
DB09027	DB08934	D007239
DB09027	DB08934	D003141
DB09027	DB08934	D006526
DB09027	DB08934	D006505
DB00177	DB00381	D006949
DB00177	DB09292	D006333
DB00177	DB09292	D001145
DB00879	DB09299	D000163
DB00879	DB09299	D015658
DB00177	DB09292	D006973
DB00177	DB09292	D000075222
DB00921	DB01183	D019966
DB01015	DB00440	D008288
DB01015	DB00440	D007669
DB01015	DB00440	D053040
DB11613	DB08934	D007239
DB11613	DB08934	D003141
DB00879	DB09299	D007239
DB00879	DB09299	D003141
DB00966	DB00381	D006973
DB01015	DB00440	D001424
DB00177	DB00381	D006973
DB00177	DB00381	D000075222
DB00766	DB01060	D010019
DB00709	DB00495	D003141
