drug	condition
DB11595	D002292
DB11595	D009362
DB11595	D007680
DB00588	D012220
DB08906	D012220
DB13867	D012220
DB00588	D065631
DB08906	D065631
DB13867	D065631
DB00972	D012220
DB00972	D065631
DB00650	D018335
DB00158	D018335
DB00531	D018335
DB04572	D018335
DB00515	D018335
DB00958	D018335
DB00563	D018335
DB00773	D018335
DB00541	D018335
DB01179	D018335
DB13144	D018335
DB01373	D018335
DB11596	D018335
DB00531	D001943
DB00544	D001943
DB00445	D001943
DB00572	D011236
DB00572	D018149
DB01221	D001416
DB01221	D017116
DB00046	D016640
DB00046	D003920
DB00152	D000740
DB15958	D000740
DB00152	D000752
DB15958	D000752
DB00152	D000749
DB15958	D000749
DB00165	D000740
DB00165	D000752
DB00165	D000749
DB00200	D000740
DB00200	D000752
DB00200	D000749
DB00203	D000081029
DB00203	D006973
DB06681	D012595
DB06681	D045743
DB06681	D012594
DB01281	D012595
DB01281	D045743
DB01281	D012594
DB06655	D003920
DB06655	D003924
DB00222	D003920
DB00222	D003924
DB00916	D000038
DB15759	D000038
DB00916	D012003
DB15759	D012003
DB00916	D005402
DB15759	D005402
DB00537	D000038
DB00537	D012003
DB00537	D005402
DB00734	D012559
DB00422	D006948
DB00422	D001289
DB00182	D006948
DB00182	D001289
DB01576	D006948
DB01576	D001289
DB00959	D008175
DB14643	D008175
DB00860	D008175
DB14631	D008175
DB14632	D008175
DB15566	D008175
DB09502	D008175
DB01248	D001943
DB01101	D001943
DB01409	D008171
DB01409	D029424
DB01409	D004417
DB09080	D008171
DB09080	D029424
DB09080	D004417
DB01234	D000377
DB11487	D000377
DB14649	D000377
DB00758	D054058
DB00758	D013577
DB06448	D008175
DB06448	D002289
DB06448	D009362
DB09035	D006258
DB09035	D000077195
DB06186	D006258
DB06186	D000077195
DB14851	D006258
DB14851	D000077195
DB00996	D051437
DB08872	D051437
DB00169	D009103
DB00169	D012598
DB11094	D009103
DB11094	D012598
DB00635	D001249
DB00877	D008175
DB00877	D002289
DB00995	D008175
DB00995	D002289
DB00620	D007249
DB06708	D016778
DB06697	D016778
DB00205	D016778
DB01087	D016778
DB01299	D016778
DB00613	D016778
DB06608	D016778
DB00619	D009362
DB01222	D004941
DB01222	D057765
DB09035	D008223
DB09035	D007938
DB09035	D008224
DB09035	D016393
DB09035	D007945
DB09035	D015451
DB09035	D016403
DB09035	D013577
DB00316	D010149
DB00788	D010149
DB00318	D010149
DB01041	D008180
DB01041	D008179
DB09037	D002277
DB09037	D013945
DB09078	D002277
DB09078	D013945
DB00182	D019966
DB00182	D019955
DB01576	D019966
DB01576	D019955
DB01076	D015179
DB01076	D003092
DB01076	D003093
DB01076	D014456
DB01373	D015179
DB01373	D003092
DB01373	D003093
DB01373	D014456
DB01222	D008173
DB01222	D029424
DB00983	D008173
DB00983	D029424
DB01274	D008173
DB01274	D029424
DB01229	D008175
DB13809	D008175
DB01229	D002289
