"drug1_id","drug1_name","condition_id","condition_name","drug2_id","drug2_name","scores"
"DB11595","Atezolizumab","D002292","renal cell carcinoma","DB00220","Nelfinavir",0.804425001144409
"DB11595","Atezolizumab","D002292","renal cell carcinoma","DB00112","Bevacizumab",0.77247166633606
"DB11595","Atezolizumab","D002292","renal cell carcinoma","DB09035","Nivolumab",0.670992851257324
"DB11595","Atezolizumab","D009362","neoplasm metastasis","DB00112","Bevacizumab",0.621480464935303
"DB11595","Atezolizumab","D007680","kidney neoplasm","DB00112","Bevacizumab",0.824108183383942
"DB11595","Atezolizumab","D007680","kidney neoplasm","DB00220","Nelfinavir",0.807956397533417
"DB11595","Atezolizumab","D007680","kidney neoplasm","DB09035","Nivolumab",0.746237218379974
"DB00588","Fluticasone propionate","D012220","rhinitis","DB00959","Methylprednisolone",0.684829294681549
"DB00588","Fluticasone propionate","D012220","rhinitis","DB00635","Prednisone",0.619398295879364
"DB00972","Azelastine","D012220","rhinitis","DB00764","Mometasone",0.871376216411591
"DB00972","Azelastine","D012220","rhinitis","DB01222","Budesonide",0.849546909332275
"DB00972","Azelastine","D065631","rhinitis, allergic","DB00764","Mometasone",0.927464127540588
"DB00972","Azelastine","D065631","rhinitis, allergic","DB01222","Budesonide",0.862040281295776
"DB00531","Cyclophosphamide","D018335","rhabdoid tumor","DB01073","Fludarabine",0.569317936897278
"DB00541","Vincristine","D018335","rhabdoid tumor","DB00997","Doxorubicin",0.113429844379425
"DB00531","Cyclophosphamide","D001943","malignant neoplasm of breast","DB01073","Fludarabine",0.830218374729156
"DB00531","Cyclophosphamide","D001943","malignant neoplasm of breast","DB01006","Letrozole",0.801624298095703
"DB00531","Cyclophosphamide","D001943","malignant neoplasm of breast","DB00072","Trastuzumab",0.786697268486023
"DB00544","Fluorouracil","D001943","malignant neoplasm of breast","DB11058","Petrolatum",0.576536655426025
"DB00544","Fluorouracil","D001943","malignant neoplasm of breast","DB01248","Docetaxel",0.546713590621948
"DB00544","Fluorouracil","D001943","malignant neoplasm of breast","DB00526","Oxaliplatin",0.534350097179413
"DB00445","Epirubicin","D001943","malignant neoplasm of breast","DB00531","Cyclophosphamide",0.657967090606689
"DB00445","Epirubicin","D001943","malignant neoplasm of breast","DB01248","Docetaxel",0.52727597951889
"DB00445","Epirubicin","D001943","malignant neoplasm of breast","DB01229","Paclitaxel",0.434462040662766
"DB00046","Insulin lispro","D016640","gestational diabetes","DB00047","Insulin glargine",0.120885789394379
"DB00046","Insulin lispro","D003920","diabetes mellitus","DB00047","Insulin glargine",0.930840313434601
"DB00046","Insulin lispro","D003920","diabetes mellitus","DB00040","Glucagon",0.893891155719757
"DB00046","Insulin lispro","D003920","diabetes mellitus","DB09045","Dulaglutide",0.86697918176651
"DB00203","Sildenafil","D000081029","arterial hypertension, pulmonary","DB00820","Tadalafil",0.776897132396698
"DB00203","Sildenafil","D000081029","arterial hypertension, pulmonary","DB00559","Bosentan",0.726824700832367
"DB00203","Sildenafil","D000081029","arterial hypertension, pulmonary","DB01275","Hydralazine",0.26788604259491
"DB00203","Sildenafil","D006973","blood pressure, high","DB00235","Milrinone",0.845556318759918
"DB00203","Sildenafil","D006973","blood pressure, high","DB00820","Tadalafil",0.809310436248779
"DB00203","Sildenafil","D006973","blood pressure, high","DB00559","Bosentan",0.802697718143463
"DB06655","Liraglutide","D003920","diabetes mellitus","DB09038","Empagliflozin",0.906641006469727
"DB06655","Liraglutide","D003920","diabetes mellitus","DB00222","Glimepiride",0.901955842971802
"DB06655","Liraglutide","D003920","diabetes mellitus","DB08907","Canagliflozin",0.894003391265869
"DB06655","Liraglutide","D003924","diabetes mellitus, non-insulin-dependent","DB00222","Glimepiride",0.876540720462799
"DB06655","Liraglutide","D003924","diabetes mellitus, non-insulin-dependent","DB09038","Empagliflozin",0.865172445774078
"DB06655","Liraglutide","D003924","diabetes mellitus, non-insulin-dependent","DB00331","Metformin",0.83258843421936
"DB00222","Glimepiride","D003920","diabetes mellitus","DB00331","Metformin",0.918508648872375
"DB00222","Glimepiride","D003920","diabetes mellitus","DB06335","Saxagliptin",0.913514971733093
"DB00222","Glimepiride","D003920","diabetes mellitus","DB06655","Liraglutide",0.901955842971802
"DB00222","Glimepiride","D003924","diabetes mellitus, non-insulin-dependent","DB00331","Metformin",0.901605129241943
"DB00222","Glimepiride","D003924","diabetes mellitus, non-insulin-dependent","DB06655","Liraglutide",0.876540720462799
"DB00222","Glimepiride","D003924","diabetes mellitus, non-insulin-dependent","DB06335","Saxagliptin",0.864821255207062
"DB00916","Metronidazole","D000038","abscess","DB00537","Ciprofloxacin",0.734364569187164
"DB00916","Metronidazole","D005402","fistula","DB00537","Ciprofloxacin",0.733333349227905
"DB00537","Ciprofloxacin","D000038","abscess","DB00916","Metronidazole",0.734364569187164
"DB00537","Ciprofloxacin","D005402","fistula","DB00916","Metronidazole",0.733333349227905
"DB00537","Ciprofloxacin","D005402","fistula","DB00254","Doxycycline",0.216147795319557
"DB00734","Risperidone","D012559","schizophrenia","DB11699","Tropisetron",0.853693723678589
"DB00734","Risperidone","D012559","schizophrenia","DB00745","Modafinil",0.831266760826111
"DB00734","Risperidone","D012559","schizophrenia","DB06144","Sertindole",0.815708041191101
"DB00422","Methylphenidate","D006948","hyperkinesia, generalized","DB00289","Atomoxetine",0.83377993106842
"DB00422","Methylphenidate","D006948","hyperkinesia, generalized","DB00575","Clonidine",0.768865346908569
"DB00422","Methylphenidate","D001289","attention deficit disorder","DB00289","Atomoxetine",0.788186311721802
"DB00422","Methylphenidate","D001289","attention deficit disorder","DB00704","Naltrexone",0.700021743774414
"DB00422","Methylphenidate","D001289","attention deficit disorder","DB00575","Clonidine",0.688149929046631
"DB00182","Amphetamine","D001289","attention deficit disorder","DB01576","Dextroamphetamine",0.870948255062103
"DB01576","Dextroamphetamine","D001289","attention deficit disorder","DB00182","Amphetamine",0.870948255062103
"DB01576","Dextroamphetamine","D001289","attention deficit disorder","DB00422","Methylphenidate",0.679282546043396
"DB01576","Dextroamphetamine","D001289","attention deficit disorder","DB00623","Fluphenazine",0.286519110202789
"DB01248","Docetaxel","D001943","malignant neoplasm of breast","DB00958","Carboplatin",0.832358717918396
"DB01248","Docetaxel","D001943","malignant neoplasm of breast","DB01101","Capecitabine",0.823535919189453
"DB01248","Docetaxel","D001943","malignant neoplasm of breast","DB00072","Trastuzumab",0.80001825094223
"DB01101","Capecitabine","D001943","malignant neoplasm of breast","DB01259","Lapatinib",0.825027704238892
"DB01101","Capecitabine","D001943","malignant neoplasm of breast","DB01248","Docetaxel",0.823535919189453
"DB01101","Capecitabine","D001943","malignant neoplasm of breast","DB14922","Tislelizumab",0.805706560611725
"DB01409","Tiotropium","D008171","diseases, lung","DB00938","Salmeterol",0.95097827911377
"DB01409","Tiotropium","D008171","diseases, lung","DB01001","Albuterol",0.940043926239014
"DB01409","Tiotropium","D008171","diseases, lung","DB12248","Tulobuterol",0.91902095079422
"DB01409","Tiotropium","D029424","chronic obstructive airway disease","DB09080","Olodaterol",0.966601550579071
"DB01409","Tiotropium","D029424","chronic obstructive airway disease","DB12248","Tulobuterol",0.934742450714111
"DB01409","Tiotropium","D029424","chronic obstructive airway disease","DB00938","Salmeterol",0.930981397628784
"DB01409","Tiotropium","D004417","dyspnea","DB01001","Albuterol",0.877465605735779
"DB01409","Tiotropium","D004417","dyspnea","DB09080","Olodaterol",0.828595757484436
"DB09080","Olodaterol","D008171","diseases, lung","DB01409","Tiotropium",0.905789971351624
"DB09080","Olodaterol","D029424","chronic obstructive airway disease","DB01409","Tiotropium",0.966601550579071
"DB09080","Olodaterol","D004417","dyspnea","DB01409","Tiotropium",0.828595757484436
"DB01234","Dexamethasone","D000377","agnosia","DB00296","Ropivacaine",0.475685656070709
"DB01234","Dexamethasone","D000377","agnosia","DB00297","Bupivacaine",0.307499915361404
"DB01234","Dexamethasone","D000377","agnosia","DB01233","Metoclopramide",0.149488136172295
"DB00758","Clopidogrel","D054058","acute coronary syndrome","DB06441","Cangrelor",0.858577370643616
"DB00758","Clopidogrel","D054058","acute coronary syndrome","DB08816","Ticagrelor",0.841102838516235
"DB00758","Clopidogrel","D054058","acute coronary syndrome","DB00063","Eptifibatide",0.837686598300934
"DB00758","Clopidogrel","D013577","syndrome","DB08816","Ticagrelor",0.83748984336853
"DB00758","Clopidogrel","D013577","syndrome","DB06209","Prasugrel",0.799958050251007
"DB00758","Clopidogrel","D013577","syndrome","DB06228","Rivaroxaban",0.795285224914551
"DB09035","Nivolumab","D006258","head and neck neoplasms","DB14851","Relatlimab",0.882143437862396
"DB09035","Nivolumab","D006258","head and neck neoplasms","DB06186","Ipilimumab",0.843412637710571
"DB09035","Nivolumab","D006258","head and neck neoplasms","DB09078","Lenvatinib",0.736118912696838
"DB09035","Nivolumab","D000077195","oropharyngeal squamous cell carcinoma","DB14851","Relatlimab",0.984852135181427
"DB09035","Nivolumab","D000077195","oropharyngeal squamous cell carcinoma","DB06186","Ipilimumab",0.953980147838593
"DB09035","Nivolumab","D000077195","oropharyngeal squamous cell carcinoma","DB00515","Cisplatin",0.809882879257202
"DB06186","Ipilimumab","D006258","head and neck neoplasms","DB09035","Nivolumab",0.843412637710571
"DB06186","Ipilimumab","D000077195","oropharyngeal squamous cell carcinoma","DB09035","Nivolumab",0.953980147838593
"DB14851","Relatlimab","D006258","head and neck neoplasms","DB09035","Nivolumab",0.882143437862396
"DB14851","Relatlimab","D000077195","oropharyngeal squamous cell carcinoma","DB09035","Nivolumab",0.984852135181427
"DB00996","Gabapentin","D051437","kidney failure","DB00268","Ropinirole",0.775378406047821
"DB00635","Prednisone","D001249","asthma","DB01001","Albuterol",0.683267891407013
"DB00635","Prednisone","D001249","asthma","DB00471","Montelukast",0.323397845029831
"DB00877","Sirolimus","D008175","lung neoplasms","DB00995","Auranofin",0.86361563205719
"DB00877","Sirolimus","D008175","lung neoplasms","DB11714","Durvalumab",0.774210095405579
"DB00877","Sirolimus","D008175","lung neoplasms","DB00331","Metformin",0.717319905757904
"DB00877","Sirolimus","D002289","non-small cell lung carcinoma","DB00995","Auranofin",0.833710968494415
"DB00877","Sirolimus","D002289","non-small cell lung carcinoma","DB11714","Durvalumab",0.699456930160522
"DB00877","Sirolimus","D002289","non-small cell lung carcinoma","DB00331","Metformin",0.492561489343643
"DB00995","Auranofin","D008175","lung neoplasms","DB00877","Sirolimus",0.86361563205719
"DB00995","Auranofin","D002289","non-small cell lung carcinoma","DB00877","Sirolimus",0.833710968494415
"DB00620","Triamcinolone","D007249","inflammation","DB00281","Lidocaine",0.650716245174408
"DB00620","Triamcinolone","D007249","inflammation","DB00297","Bupivacaine",0.542402923107147
"DB06708","Lumefantrine","D016778","malaria, falciparum","DB06697","Artemether",0.976277530193329
"DB06697","Artemether","D016778","malaria, falciparum","DB06708","Lumefantrine",0.976277530193329
"DB00205","Pyrimethamine","D016778","malaria, falciparum","DB01299","Sulfadoxine",0.954938530921936
"DB01087","Primaquine","D016778","malaria, falciparum","DB00608","Chloroquine",0.795599579811096
"DB01299","Sulfadoxine","D016778","malaria, falciparum","DB00205","Pyrimethamine",0.954938530921936
"DB00613","Amodiaquine","D016778","malaria, falciparum","DB09274","Artesunate",0.830058753490448
"DB00619","Imatinib","D009362","neoplasm metastasis","DB01248","Docetaxel",0.444538414478302
"DB00619","Imatinib","D009362","neoplasm metastasis","DB01229","Paclitaxel",0.139213919639587
"DB00619","Imatinib","D009362","neoplasm metastasis","DB01005","Hydroxyurea",0.112287275493145
"DB09035","Nivolumab","D008223","lymphoma","DB14851","Relatlimab",0.955372154712677
"DB09035","Nivolumab","D008223","lymphoma","DB06186","Ipilimumab",0.813094854354858
"DB09035","Nivolumab","D008223","lymphoma","DB06317","Elotuzumab",0.781909584999084
"DB09035","Nivolumab","D007938","leukemia","DB00987","Cytarabine",0.800392508506775
"DB09035","Nivolumab","D007938","leukemia","DB01254","Dasatinib",0.786337077617645
"DB09035","Nivolumab","D007938","leukemia","DB01042","Melphalan",0.679409503936768
"DB09035","Nivolumab","D008224","lymphoma, follicular","DB14851","Relatlimab",0.803275227546692
"DB09035","Nivolumab","D016393","b-cell lymphomas","DB14851","Relatlimab",0.84918612241745
"DB09035","Nivolumab","D016393","b-cell lymphomas","DB06186","Ipilimumab",0.697424829006195
"DB09035","Nivolumab","D007945","leukemia, lymphoid","DB06317","Elotuzumab",0.194357350468636
"DB09035","Nivolumab","D007945","leukemia, lymphoid","DB01042","Melphalan",0.142747536301613
"DB09035","Nivolumab","D016403","diffuse large b-cell lymphoma","DB14851","Relatlimab",0.908888280391693
"DB09035","Nivolumab","D016403","diffuse large b-cell lymphoma","DB06186","Ipilimumab",0.78205931186676
"DB09035","Nivolumab","D013577","syndrome","DB01042","Melphalan",0.649063229560852
"DB09035","Nivolumab","D013577","syndrome","DB00928","Azacitidine",0.60438871383667
"DB00316","Acetaminophen","D010149","pain, postoperative","DB00465","Ketorolac",0.770150005817413
"DB00316","Acetaminophen","D010149","pain, postoperative","DB00482","Celecoxib",0.768517971038818
"DB00316","Acetaminophen","D010149","pain, postoperative","DB00318","Codeine",0.753305673599243
"DB00788","Naproxen","D010149","pain, postoperative","DB00193","Tramadol",0.719707310199738
"DB00318","Codeine","D010149","pain, postoperative","DB00316","Acetaminophen",0.753305673599243
"DB09037","Pembrolizumab","D002277","carcinoma","DB09078","Lenvatinib",0.919831037521362
"DB09037","Pembrolizumab","D002277","carcinoma","DB09053","Ibrutinib",0.890549719333649
"DB09037","Pembrolizumab","D002277","carcinoma","DB00041","Aldesleukin",0.886632263660431
"DB09078","Lenvatinib","D002277","carcinoma","DB15463","Belzutifan",0.986339926719666
"DB09078","Lenvatinib","D002277","carcinoma","DB14922","Tislelizumab",0.983534514904022
"DB09078","Lenvatinib","D002277","carcinoma","DB09037","Pembrolizumab",0.919831037521362
"DB00182","Amphetamine","D019966","abuse, drug","DB01576","Dextroamphetamine",0.837957382202148
"DB01576","Dextroamphetamine","D019966","abuse, drug","DB00182","Amphetamine",0.837957382202148
"DB01576","Dextroamphetamine","D019966","abuse, drug","DB00745","Modafinil",0.744201481342316
"DB01576","Dextroamphetamine","D019966","abuse, drug","DB00502","Haloperidol",0.307058453559875
"DB01076","Atorvastatin","D003092","colitis","DB00244","Mesalazine",0.799658596515656
"DB01076","Atorvastatin","D003093","ulcerative colitis","DB00244","Mesalazine",0.767608761787415
"DB01222","Budesonide","D008173","lung diseases, obstructive","DB00983","Formoterol",0.912940919399261
"DB01222","Budesonide","D008173","lung diseases, obstructive","DB01366","Procaterol",0.904897511005402
"DB01222","Budesonide","D008173","lung diseases, obstructive","DB00277","Theophylline",0.860335290431976
"DB01222","Budesonide","D029424","chronic obstructive airway disease","DB00277","Theophylline",0.829679667949677
"DB01222","Budesonide","D029424","chronic obstructive airway disease","DB00983","Formoterol",0.761627495288849
"DB01222","Budesonide","D029424","chronic obstructive airway disease","DB01366","Procaterol",0.710448384284973
"DB00983","Formoterol","D008173","lung diseases, obstructive","DB01409","Tiotropium",0.912955641746521
"DB00983","Formoterol","D008173","lung diseases, obstructive","DB01222","Budesonide",0.912940919399261
"DB00983","Formoterol","D008173","lung diseases, obstructive","DB00938","Salmeterol",0.803681790828705
"DB00983","Formoterol","D029424","chronic obstructive airway disease","DB01409","Tiotropium",0.799815118312836
"DB00983","Formoterol","D029424","chronic obstructive airway disease","DB00938","Salmeterol",0.767748296260834
"DB00983","Formoterol","D029424","chronic obstructive airway disease","DB01222","Budesonide",0.761627495288849
"DB01229","Paclitaxel","D008175","lung neoplasms","DB00958","Carboplatin",0.875131964683533
"DB01229","Paclitaxel","D008175","lung neoplasms","DB00515","Cisplatin",0.846570014953613
"DB01229","Paclitaxel","D008175","lung neoplasms","DB05578","Ramucirumab",0.833814799785614
"DB01229","Paclitaxel","D002289","non-small cell lung carcinoma","DB00958","Carboplatin",0.832638680934906
"DB01229","Paclitaxel","D002289","non-small cell lung carcinoma","DB05578","Ramucirumab",0.831007957458496
"DB01229","Paclitaxel","D002289","non-small cell lung carcinoma","DB00515","Cisplatin",0.808111071586609
"DB00734","Risperidone","D001714","bipolar disorder","DB00656","Trazodone",0.143677920103073
"DB11714","Durvalumab","D009369","malignant neoplasms","DB11771","Tremelimumab",0.976038157939911
"DB11714","Durvalumab","D009369","malignant neoplasms","DB09074","Olaparib",0.961585700511932
