"condition_id","condition_name","drug1_id","drug1_name","drug2_id","drug2_name","scores"
"D002292","renal cell carcinoma","DB11595","Atezolizumab","DB11800","Tivozanib",0.468133
"D002292","renal cell carcinoma","DB00877","Sirolimus","DB00688","Mycophenolate mofetil",0.4659524
"D002292","renal cell carcinoma","DB09078","Lenvatinib","DB00643","Mebendazole",0.4166471
"D009362","neoplasm metastasis","DB00947","Fulvestrant","DB01217","Anastrozole",0.7435403
"D009362","neoplasm metastasis","DB00650","Leucovorin","DB00563","Methotrexate",0.65329415
"D009362","neoplasm metastasis","DB00544","Fluorouracil","DB00762","Irinotecan",0.6491108
"D007680","kidney neoplasm","DB06605","Apixaban","DB06228","Rivaroxaban",0.5874556
"D007680","kidney neoplasm","DB11595","Atezolizumab","DB11800","Tivozanib",0.58667433
"D007680","kidney neoplasm","DB01229","Paclitaxel","DB04868","Nilotinib",0.5647946
"D012220","rhinitis","DB01222","Budesonide","DB00983","Formoterol",0.49649748
"D012220","rhinitis","DB00332","Ipratropium","DB01288","Fenoterol",0.47988456
"D012220","rhinitis","DB00207","Azithromycin","DB00254","Doxycycline",0.3651075
"D065631","rhinitis, allergic","DB00455","Loratadine","DB00283","Clemastine",0.713379
"D065631","rhinitis, allergic","DB00852","Pseudoephedrine","DB00835","Brompheniramine",0.47522667
"D065631","rhinitis, allergic","DB00341","Cetirizine","DB00350","Minoxidil",0.2691566
"D018335","rhabdoid tumor","DB00541","Vincristine","DB00997","Doxorubicin",0.113429844
"D018335","rhabdoid tumor","DB00188","Bortezomib","DB02546","Vorinostat",0.107163765
"D001943","malignant neoplasm of breast","DB11793","Niraparib","DB11828","Neratinib",0.7978611
"D001943","malignant neoplasm of breast","DB01101","Capecitabine","DB02546","Vorinostat",0.78339034
"D001943","malignant neoplasm of breast","DB01128","Bicalutamide","DB00481","Raloxifene",0.7361765
"D011236","prediabetic state","DB00046","Insulin lispro","DB00047","Insulin glargine",0.5343876
"D011236","prediabetic state","DB00046","Insulin lispro","DB00040","Glucagon",0.26571128
"D011236","prediabetic state","DB01276","Exenatide","DB00284","Acarbose",0.25898227
"D018149","glucose intolerance","DB01276","Exenatide","DB00284","Acarbose",0.17150867
"D001416","back pain","DB00296","Ropivacaine","DB00668","Epinephrine",0.5830564
"D001416","back pain","DB00297","Bupivacaine","DB00296","Ropivacaine",0.49062958
"D001416","back pain","DB00297","Bupivacaine","DB00295","Morphine",0.43750408
"D017116","low back pain","DB00281","Lidocaine","DB01018","Guanfacine",0.5680778
"D017116","low back pain","DB00297","Bupivacaine","DB01236","Sevoflurane",0.41090912
"D017116","low back pain","DB00281","Lidocaine","DB00540","Nortriptyline",0.35020882
"D016640","gestational diabetes","DB00107","Oxytocin","DB00852","Pseudoephedrine",0.24615043
"D016640","gestational diabetes","DB00046","Insulin lispro","DB00047","Insulin glargine",0.12088579
"D003920","diabetes mellitus","DB00503","Ritonavir","DB16691","Nirmatrelvir",0.8565069
"D003920","diabetes mellitus","DB06285","Teriparatide","DB00630","Alendronic acid",0.83736885
"D003920","diabetes mellitus","DB06212","Tolvaptan","DB00211","Midodrine",0.8025981
"D000740","anemia","DB00650","Leucovorin","DB00205","Pyrimethamine",0.529521
"D000740","anemia","DB00091","Cyclosporine","DB00993","Azathioprine",0.51518875
"D000740","anemia","DB06723","Aluminum hydroxide","DB09104","Magnesium hydroxide",0.4893266
"D006973","blood pressure, high","DB00203","Sildenafil","DB03128","Acetylcholine",0.77970517
"D006973","blood pressure, high","DB00559","Bosentan","DB00770","Alprostadil",0.7756974
"D006973","blood pressure, high","DB00741","Hydrocortisone","DB00988","Dopamine",0.754078
"D045743","diffuse scleroderma","DB00688","Mycophenolate mofetil","DB00091","Cyclosporine",0.41644818
"D045743","diffuse scleroderma","DB00563","Methotrexate","DB00091","Cyclosporine",0.3691091
"D045743","diffuse scleroderma","DB00563","Methotrexate","DB06674","Golimumab",0.12682033
"D003924","diabetes mellitus, non-insulin-dependent","DB09026","Aliskiren","DB00678","Losartan",0.80441064
"D003924","diabetes mellitus, non-insulin-dependent","DB00503","Ritonavir","DB16691","Nirmatrelvir",0.7920953
"D003924","diabetes mellitus, non-insulin-dependent","DB00381","Amlodipine","DB00722","Lisinopril",0.74857473
"D000038","abscess","DB01606","Tazobactam","DB09050","Ceftolozane",0.4365482
"D000038","abscess","DB00254","Doxycycline","DB12825","Lefamulin",0.10246615
"D005402","fistula","DB00537","Ciprofloxacin","DB00254","Doxycycline",0.2161478
"D012559","schizophrenia","DB09068","Vortioxetine","DB00659","Acamprosate",0.8994722
"D012559","schizophrenia","DB00316","Acetaminophen","DB00470","Dronabinol",0.6347317
"D012559","schizophrenia","DB08868","Fingolimod","DB00215","Citalopram",0.5725979
"D006948","hyperkinesia, generalized","DB00404","Alprazolam","DB01011","Metyrapone",0.20744392
"D006948","hyperkinesia, generalized","DB00813","Fentanyl","DB00295","Morphine",0.1318186
"D001289","attention deficit disorder","DB09068","Vortioxetine","DB00659","Acamprosate",0.7388778
"D001289","attention deficit disorder","DB00422","Methylphenidate","DB00898","Ethanol",0.474773
"D001289","attention deficit disorder","DB01576","Dextroamphetamine","DB00623","Fluphenazine",0.2865191
"D008175","lung neoplasms","DB00544","Fluorouracil","DB01005","Hydroxyurea",0.69527614
"D008175","lung neoplasms","DB01229","Paclitaxel","DB00361","Vinorelbine",0.56573176
"D008175","lung neoplasms","DB01248","Docetaxel","DB08916","Afatinib",0.42140996
"D008171","diseases, lung","DB01062","Oxybutynin","DB00967","Desloratadine",0.88097847
"D008171","diseases, lung","DB01060","Amoxicillin","DB00766","Clavulanic acid",0.8580541
"D008171","diseases, lung","DB01141","Micafungin","DB12471","Ibrexafungerp",0.8434366
"D029424","chronic obstructive airway disease","DB00388","Phenylephrine","DB00852","Pseudoephedrine",0.629204
"D029424","chronic obstructive airway disease","DB00397","Phenylpropanolamine","DB01114","Chlorpheniramine",0.6198107
"D029424","chronic obstructive airway disease","DB08879","Belimumab","DB00073","Rituximab",0.59757537
"D004417","dyspnea","DB00668","Epinephrine","DB00043","Omalizumab",0.32088953
"D004417","dyspnea","DB01222","Budesonide","DB00983","Formoterol",0.13301016
"D004417","dyspnea","DB01222","Budesonide","DB06415","Calfactant",0.12763225
"D000377","agnosia","DB01234","Dexamethasone","DB00297","Bupivacaine",0.30749992
"D000377","agnosia","DB09061","Cannabidiol","DB11057","Mineral oil",0.19031164
"D000377","agnosia","DB01234","Dexamethasone","DB01233","Metoclopramide",0.14948814
"D054058","acute coronary syndrome","DB06605","Apixaban","DB00682","Warfarin",0.48812366
"D054058","acute coronary syndrome","DB00612","Bisoprolol","DB00343","Diltiazem",0.39180237
"D054058","acute coronary syndrome","DB01076","Atorvastatin","DB00973","Ezetimibe",0.35639372
"D013577","syndrome","DB01234","Dexamethasone","DB13089","Enoxolone",0.87190694
"D013577","syndrome","DB08816","Ticagrelor","DB06441","Cangrelor",0.8653688
"D013577","syndrome","DB06605","Apixaban","DB06695","Dabigatran etexilate",0.75270736
"D002289","non-small cell lung carcinoma","DB11793","Niraparib","DB09330","Osimertinib",0.8531315
"D002289","non-small cell lung carcinoma","DB11595","Atezolizumab","DB11760","Talazoparib",0.80726814
"D002289","non-small cell lung carcinoma","DB00965","Ethiodized oil","DB00707","Porfimer sodium",0.7677436
"D006258","head and neck neoplasms","DB00544","Fluorouracil","DB11058","Petrolatum",0.9132865
"D006258","head and neck neoplasms","DB01030","Topotecan","DB01294","Bismuth subsalicylate",0.6494674
"D006258","head and neck neoplasms","DB09037","Pembrolizumab","DB00002","Cetuximab",0.6485878
"D051437","kidney failure","DB06724","Calcium carbonate","DB06410","Doxercalciferol",0.88108474
"D051437","kidney failure","DB11580","Ravulizumab","DB01257","Eculizumab",0.83560485
"D051437","kidney failure","DB00675","Tamoxifen","DB01217","Anastrozole",0.83417016
"D009103","multiple sclerosis","DB00763","Methimazole","DB00550","Propylthiouracil",0.8248656
"D009103","multiple sclerosis","DB01043","Memantine","DB00740","Riluzole",0.19292128
"D009103","multiple sclerosis","DB00999","Hydrochlorothiazide","DB00594","Amiloride",0.10371682
"D012598","sclerosis","DB00688","Mycophenolate mofetil","DB00763","Methimazole",0.56111366
"D012598","sclerosis","DB00860","Prednisolone","DB01097","Leflunomide",0.16391999
"D012598","sclerosis","DB00051","Adalimumab","DB11569","Ixekizumab",0.14058298
"D001249","asthma","DB00927","Famotidine","DB00455","Loratadine",0.84864116
"D001249","asthma","DB00668","Epinephrine","DB00043","Omalizumab",0.66362
