"drug1_id","drug1_name","drug2_id","drug2_name","condition_id","condition_name","scores"
"DB11595","Atezolizumab","DB11800","Tivozanib","D002292","renal cell carcinoma",0.468133
"DB00877","Sirolimus","DB00688","Mycophenolate mofetil","D002292","renal cell carcinoma",0.4659524
"DB09078","Lenvatinib","DB00643","Mebendazole","D002292","renal cell carcinoma",0.4166471
"DB01229","Paclitaxel","DB04868","Nilotinib","D002292","renal cell carcinoma",0.38237903
"DB00958","Carboplatin","DB00773","Etoposide","D002292","renal cell carcinoma",0.36005092
"DB00188","Bortezomib","DB02546","Vorinostat","D002292","renal cell carcinoma",0.32696772
"DB00762","Irinotecan","DB11760","Talazoparib","D002292","renal cell carcinoma",0.3020655
"DB00958","Carboplatin","DB01229","Paclitaxel","D002292","renal cell carcinoma",0.2990882
"DB06605","Apixaban","DB06228","Rivaroxaban","D002292","renal cell carcinoma",0.29254246
"DB00762","Irinotecan","DB00526","Oxaliplatin","D002292","renal cell carcinoma",0.28637066
"DB00515","Cisplatin","DB00773","Etoposide","D002292","renal cell carcinoma",0.21911952
"DB00531","Cyclophosphamide","DB00482","Celecoxib","D002292","renal cell carcinoma",0.20978002
"DB00441","Gemcitabine","DB00526","Oxaliplatin","D002292","renal cell carcinoma",0.18151687
"DB01101","Capecitabine","DB00526","Oxaliplatin","D002292","renal cell carcinoma",0.16474733
"DB11714","Durvalumab","DB09053","Ibrutinib","D002292","renal cell carcinoma",0.1490515
"DB11595","Atezolizumab","DB08882","Linagliptin","D002292","renal cell carcinoma",0.13800022
"DB09074","Olaparib","DB00112","Bevacizumab","D002292","renal cell carcinoma",0.13584282
"DB01101","Capecitabine","DB09078","Lenvatinib","D002292","renal cell carcinoma",0.13259482
"DB01006","Letrozole","DB01590","Everolimus","D002292","renal cell carcinoma",0.12562412
"DB00072","Trastuzumab","DB06366","Pertuzumab","D002292","renal cell carcinoma",0.12561162
"DB00762","Irinotecan","DB00853","Temozolomide","D002292","renal cell carcinoma",0.1190019
"DB01101","Capecitabine","DB02546","Vorinostat","D002292","renal cell carcinoma",0.11709033
"DB00515","Cisplatin","DB00544","Fluorouracil","D002292","renal cell carcinoma",0.1132354
"DB01611","Hydroxychloroquine","DB01167","Itraconazole","D002292","renal cell carcinoma",0.10707335
"DB00773","Etoposide","DB01181","Ifosfamide","D002292","renal cell carcinoma",0.105370626
"DB01248","Docetaxel","DB09037","Pembrolizumab","D002292","renal cell carcinoma",0.10303708
"DB00544","Fluorouracil","DB00762","Irinotecan","D002292","renal cell carcinoma",0.10208093
"DB09078","Lenvatinib","DB14922","Tislelizumab","D002292","renal cell carcinoma",0.10007437
"DB00947","Fulvestrant","DB01217","Anastrozole","D009362","neoplasm metastasis",0.7435403
"DB00650","Leucovorin","DB00563","Methotrexate","D009362","neoplasm metastasis",0.65329415
"DB00544","Fluorouracil","DB00762","Irinotecan","D009362","neoplasm metastasis",0.6491108
"DB00495","Zidovudine","DB00313","Valproic acid","D009362","neoplasm metastasis",0.60285336
"DB00762","Irinotecan","DB00112","Bevacizumab","D009362","neoplasm metastasis",0.5251425
"DB01101","Capecitabine","DB00853","Temozolomide","D009362","neoplasm metastasis",0.48798588
"DB01248","Docetaxel","DB00526","Oxaliplatin","D009362","neoplasm metastasis",0.484221
"DB00515","Cisplatin","DB01229","Paclitaxel","D009362","neoplasm metastasis",0.4828156
"DB00544","Fluorouracil","DB00724","Imiquimod","D009362","neoplasm metastasis",0.46924865
"DB00648","Mitotane","DB00428","Streptozocin","D009362","neoplasm metastasis",0.4477055
"DB00675","Tamoxifen","DB01217","Anastrozole","D009362","neoplasm metastasis",0.4429743
"DB00958","Carboplatin","DB01259","Lapatinib","D009362","neoplasm metastasis",0.42875224
"DB00642","Pemetrexed","DB00530","Erlotinib","D009362","neoplasm metastasis",0.38963422
"DB00650","Leucovorin","DB00544","Fluorouracil","D009362","neoplasm metastasis",0.3705513
"DB00441","Gemcitabine","DB06626","Axitinib","D009362","neoplasm metastasis",0.36879662
"DB01248","Docetaxel","DB00441","Gemcitabine","D009362","neoplasm metastasis",0.34495363
"DB02546","Vorinostat","DB00853","Temozolomide","D009362","neoplasm metastasis",0.33637023
"DB06366","Pertuzumab","DB00530","Erlotinib","D009362","neoplasm metastasis",0.33317876
"DB11714","Durvalumab","DB09074","Olaparib","D009362","neoplasm metastasis",0.32814696
"DB00441","Gemcitabine","DB01259","Lapatinib","D009362","neoplasm metastasis",0.3273215
"DB00515","Cisplatin","DB00773","Etoposide","D009362","neoplasm metastasis",0.32243934
"DB00440","Trimethoprim","DB01015","Sulfamethoxazole","D009362","neoplasm metastasis",0.3209122
"DB00958","Carboplatin","DB01262","Decitabine","D009362","neoplasm metastasis",0.29699594
"DB00853","Temozolomide","DB00530","Erlotinib","D009362","neoplasm metastasis",0.29065144
"DB00877","Sirolimus","DB00331","Metformin","D009362","neoplasm metastasis",0.2877038
"DB00531","Cyclophosphamide","DB00482","Celecoxib","D009362","neoplasm metastasis",0.2764861
"DB09037","Pembrolizumab","DB00112","Bevacizumab","D009362","neoplasm metastasis",0.26470268
"DB01041","Thalidomide","DB00399","Zoledronic acid","D009362","neoplasm metastasis",0.2589431
"DB09037","Pembrolizumab","DB11703","Acalabrutinib","D009362","neoplasm metastasis",0.25560483
"DB00465","Ketorolac","DB00297","Bupivacaine","D009362","neoplasm metastasis",0.23815235
"DB01229","Paclitaxel","DB00928","Azacitidine","D009362","neoplasm metastasis",0.23715366
"DB00635","Prednisone","DB00741","Hydrocortisone","D009362","neoplasm metastasis",0.22526795
"DB01006","Letrozole","DB01590","Everolimus","D009362","neoplasm metastasis",0.219032
"DB00958","Carboplatin","DB05015","Belinostat","D009362","neoplasm metastasis",0.21751651
"DB09037","Pembrolizumab","DB00928","Azacitidine","D009362","neoplasm metastasis",0.21626265
"DB01590","Everolimus","DB00317","Gefitinib","D009362","neoplasm metastasis",0.21011417
"DB11714","Durvalumab","DB00928","Azacitidine","D009362","neoplasm metastasis",0.20359355
"DB01006","Letrozole","DB00399","Zoledronic acid","D009362","neoplasm metastasis",0.20245133
"DB01076","Atorvastatin","DB00399","Zoledronic acid","D009362","neoplasm metastasis",0.20034418
"DB01229","Paclitaxel","DB00112","Bevacizumab","D009362","neoplasm metastasis",0.20018701
"DB00530","Erlotinib","DB00605","Sulindac","D009362","neoplasm metastasis",0.19984871
"DB00997","Doxorubicin","DB00965","Ethiodized oil","D009362","neoplasm metastasis",0.19754185
"DB01259","Lapatinib","DB00853","Temozolomide","D009362","neoplasm metastasis",0.19518283
"DB01248","Docetaxel","DB00112","Bevacizumab","D009362","neoplasm metastasis",0.19335003
"DB01248","Docetaxel","DB09079","Nintedanib","D009362","neoplasm metastasis",0.19286512
"DB09035","Nivolumab","DB06626","Axitinib","D009362","neoplasm metastasis",0.19249785
"DB09037","Pembrolizumab","DB06626","Axitinib","D009362","neoplasm metastasis",0.18945928
"DB00958","Carboplatin","DB00773","Etoposide","D009362","neoplasm metastasis",0.18901266
"DB00441","Gemcitabine","DB06043","Olaratumab","D009362","neoplasm metastasis",0.17826746
"DB00544","Fluorouracil","DB04786","Suramin","D009362","neoplasm metastasis",0.17762819
"DB00773","Etoposide","DB01181","Ifosfamide","D009362","neoplasm metastasis",0.17762427
"DB00650","Leucovorin","DB00205","Pyrimethamine","D009362","neoplasm metastasis",0.17595422
"DB01248","Docetaxel","DB01101","Capecitabine","D009362","neoplasm metastasis",0.17578758
"DB00105","Interferon alfa-2b","DB00227","Lovastatin","D009362","neoplasm metastasis",0.17544128
"DB00515","Cisplatin","DB09472","Sodium sulfate","D009362","neoplasm metastasis",0.1737128
"DB00762","Irinotecan","DB00526","Oxaliplatin","D009362","neoplasm metastasis",0.17226616
"DB01221","Ketamine","DB00818","Propofol","D009362","neoplasm metastasis",0.17110457
"DB09037","Pembrolizumab","DB00041","Aldesleukin","D009362","neoplasm metastasis",0.16980228
"DB01248","Docetaxel","DB00642","Pemetrexed","D009362","neoplasm metastasis",0.16830796
